,path,file_id,sequence_id,phrase
1531,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_gg_3,địa chỉ
559,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_tx_3,hẹn
1017,./dataset/train_landmark_files/VSL50.parquet,VSL50,mytom_pg_4,mỳ tôm
160,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_gg_5,bố mẹ
1253,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_gg_5,thường xuyên
1480,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_pg_3,đẹp không
1141,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_px_5,nấu nướng
443,./dataset/train_landmark_files/VSL50.parquet,VSL50,dunglai_gg_5,dừng lại
1057,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_tx_3,nhà vệ sinh
978,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_pg_2,mẹ
949,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_pg_4,muốn không
943,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_gx_3,muốn không
1236,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_px_4,thói quen
995,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_tx_4,mẹ
1311,./dataset/train_landmark_files/VSL50.parquet,VSL50,từ_chối-miền_nam,từ chối
844,./dataset/train_landmark_files/VSL50.parquet,VSL50,ketban_gg_3,kết bạn
626,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_gg_2,không có
1451,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_px_1,đúng không
1158,./dataset/train_landmark_files/VSL50.parquet,VSL50,phaikhong_gx_1,phải không
750,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_gg_2,không đẹp
1540,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_pg_2,địa chỉ
1443,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_gx_3,đúng không
1071,./dataset/train_landmark_files/VSL50.parquet,VSL50,nenkhong_pg_2,nên không
1036,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_gx_2,nhà vệ sinh
491,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_tg_2,hàng ngày
431,./dataset/train_landmark_files/VSL50.parquet,VSL50,cankhong_tg_4,cần không
1113,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_tg_3,nóng tính
156,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_gg_1,bố mẹ
869,./dataset/train_landmark_files/VSL50.parquet,VSL50,ketban_tx_3,kết bạn
206,./dataset/train_landmark_files/VSL50.parquet,VSL50,boiroi_px_5,bối rồi
909,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_gx_1,may mắn
712,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_tx_1,không muốn
1505,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong(nguoi)_gx_3,đẹp không(người)
